,Annualized Return,Period Return Annualized Volatility,Period Return Skewness,Sharpe Ratio,Max Drawdown,Calmar Ratio,Number_of_Trade,PnL_per_Trade_Average,PnL_per_Trade_Standard_Deviation
count,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
mean,-0.015295808497313235,0.08216610702641444,-0.1737829924886707,-0.2889251421672836,-0.20947901212532935,0.00931833578015956,22.70731707317073,0.9964355255267505,0.04314735135314115
std,0.0389239282644175,0.02072954828845131,0.5072543072440868,0.4567603722509775,0.12058621344227002,0.2790041132839921,13.871272296438823,0.01698846348880743,0.02069580952895472
min,-0.08808267827644445,0.04549598040984709,-1.6753570548067491,-1.0138194630218587,-0.5052397773201256,-0.580092295616268,1.0,0.9382551214190207,0.0
25%,-0.03271056298468611,0.0667908130485234,-0.4767267242180657,-0.618451796248282,-0.23031056590280888,-0.14485868361417062,12.0,0.9896079705919378,0.02918868166218474
50%,-0.00844191665386329,0.07740757206938606,-0.10048002656903023,-0.3073775700807286,-0.18332879766849308,-0.05410268174157932,16.0,0.998662699160479,0.041132642098095536
75%,0.008858170166607726,0.09526945074820317,0.14657854825026836,-0.01626525549391592,-0.13486340516783704,0.060443125538563985,35.0,1.0048075692984504,0.05349168300184357
max,0.07478396196077264,0.123911731341445,0.762308675097102,0.9743102025957717,-0.0289037076652469,0.9252809384742291,47.0,1.0342573178897063,0.09874020876731145
