,Agg_Ori,Agg_PCA,Fea_PCA
USDJPY,0.7441383208007738,0.9073046425609973,0.7532258100341452
USDGBP,1.0685526781230688,1.0514868294559385,1.15170677169984
USDCHF,0.9431810092110332,0.924765139824252,1.0488064450280128
USDAUD,,,
USDCAD,,,
USDNZD,,,
USDNOK,0.8066581031671399,1.0465856979482722,0.989408596970967
USDSEK,1.028590303779469,1.1178873075083482,0.8548965229252339
USDEUR,1.4812908761711894,0.9819106776646114,1.2118393509648835
JPYUSD,,,
JPYGBP,,,
JPYCHF,0.9823963549860799,1.1487171720590528,0.9841699235071895
JPYAUD,,,
JPYCAD,,,
JPYNZD,,,
JPYNOK,0.9487375444414258,1.295688410862107,1.0773555491320803
JPYSEK,0.8137253055587008,0.6781872065877718,0.8985490001925406
JPYEUR,,,
GBPUSD,,,
GBPJPY,0.7757115976327011,0.8559002611751889,0.926248774315341
GBPCHF,1.0607369109183158,0.9340400410234021,0.9349536243391369
GBPAUD,,,
GBPCAD,,,
GBPNZD,,,
GBPNOK,1.143683009319223,0.9378255187275643,1.2558297897360697
GBPSEK,0.8203512511802217,0.8336654045938034,0.9057614044624328
GBPEUR,0.8372361239622913,1.2614144989325875,0.8149830476982906
CHFUSD,,,
CHFJPY,,,
CHFGBP,,,
CHFAUD,,,
CHFCAD,,,
CHFNZD,,,
CHFNOK,,,
CHFSEK,,,
CHFEUR,,,
AUDUSD,,,
AUDJPY,,,
AUDGBP,,,
AUDCHF,,,
AUDCAD,,,
AUDNZD,,,
AUDNOK,,,
AUDSEK,,,
AUDEUR,,,
CADUSD,,,
CADJPY,,,
CADGBP,,,
CADCHF,,,
CADAUD,,,
CADNZD,,,
CADNOK,,,
CADSEK,,,
CADEUR,,,
NZDUSD,,,
NZDJPY,,,
NZDGBP,,,
NZDCHF,,,
NZDAUD,,,
NZDCAD,,,
NZDNOK,,,
NZDSEK,,,
NZDEUR,,,
NOKUSD,,,
NOKJPY,,,
NOKGBP,,,
NOKCHF,0.9354477353658814,1.5527291151293487,1.0550665882941903
NOKAUD,,,
NOKCAD,,,
NOKNZD,,,
NOKSEK,0.8439946327858717,1.1336444506698646,0.954111792622787
NOKEUR,,,
SEKUSD,,,
SEKJPY,,,
SEKGBP,,,
SEKCHF,0.9462715642855729,1.1413108272139092,1.0425261149093001
SEKAUD,,,
SEKCAD,,,
SEKNZD,,,
SEKNOK,,,
SEKEUR,,,
EURUSD,,,
EURJPY,0.967182215725474,0.8996353019010609,1.1223304801149796
EURGBP,,,
EURCHF,1.2016311585278385,0.8663496054569739,0.9443006592190915
EURAUD,,,
EURCAD,,,
EURNZD,,,
EURNOK,1.253272128835683,1.066652791911194,1.317744712570117
EURSEK,0.8965747915077121,1.1399723329007558,0.9094836878193668
