,Agg_Ori,Agg_PCA,Fea_PCA
USDJPY,0.9682885180605056,1.471035026976876,1.1120381039927756
USDGBP,1.1326785283576655,1.1326785283576655,1.3702133875417732
USDCHF,,,
USDAUD,,,
USDCAD,,,
USDNZD,,,
USDNOK,,,
USDSEK,,,
USDEUR,1.4276944571487806,1.286287995881368,0.9243381695248484
JPYUSD,,,
JPYGBP,,,
JPYCHF,,,
JPYAUD,,,
JPYCAD,,,
JPYNZD,,,
JPYNOK,,,
JPYSEK,,,
JPYEUR,,,
GBPUSD,,,
GBPJPY,1.2600227652196758,1.4589184248274523,2.7748306918021584
GBPCHF,,,
GBPAUD,,,
GBPCAD,,,
GBPNZD,,,
GBPNOK,,,
GBPSEK,,,
GBPEUR,2.0713397334462313,1.237630187433746,2.088105283313151
CHFUSD,,,
CHFJPY,,,
CHFGBP,,,
CHFAUD,,,
CHFCAD,,,
CHFNZD,,,
CHFNOK,,,
CHFSEK,,,
CHFEUR,,,
AUDUSD,,,
AUDJPY,,,
AUDGBP,,,
AUDCHF,,,
AUDCAD,,,
AUDNZD,,,
AUDNOK,,,
AUDSEK,,,
AUDEUR,,,
CADUSD,,,
CADJPY,,,
CADGBP,,,
CADCHF,,,
CADAUD,,,
CADNZD,,,
CADNOK,,,
CADSEK,,,
CADEUR,,,
NZDUSD,,,
NZDJPY,,,
NZDGBP,,,
NZDCHF,,,
NZDAUD,,,
NZDCAD,,,
NZDNOK,,,
NZDSEK,,,
NZDEUR,,,
NOKUSD,,,
NOKJPY,,,
NOKGBP,,,
NOKCHF,,,
NOKAUD,,,
NOKCAD,,,
NOKNZD,,,
NOKSEK,,,
NOKEUR,,,
SEKUSD,,,
SEKJPY,,,
SEKGBP,,,
SEKCHF,,,
SEKAUD,,,
SEKCAD,,,
SEKNZD,,,
SEKNOK,,,
SEKEUR,,,
EURUSD,,,
EURJPY,1.7212801014932486,1.2684021445463434,1.7212801014932486
EURGBP,,,
EURCHF,,,
EURAUD,,,
EURCAD,,,
EURNZD,,,
EURNOK,,,
EURSEK,,,
