,Agg_Ori,Agg_PCA,Fea_PCA
USDJPY,0.4155844155844156,0.5324675324675324,0.4675324675324675
USDGBP,0.5714285714285714,0.45454545454545453,0.5714285714285714
USDCHF,0.4805194805194805,0.5324675324675324,0.45454545454545453
USDAUD,,,
USDCAD,,,
USDNZD,,,
USDNOK,0.4675324675324675,0.44155844155844154,0.38961038961038963
USDSEK,0.35064935064935066,0.44155844155844154,0.37662337662337664
USDEUR,0.42857142857142855,0.47619047619047616,0.47619047619047616
JPYUSD,,,
JPYGBP,,,
JPYCHF,0.5194805194805194,0.4935064935064935,0.4675324675324675
JPYAUD,,,
JPYCAD,,,
JPYNZD,,,
JPYNOK,0.5194805194805194,0.4935064935064935,0.45454545454545453
JPYSEK,0.4155844155844156,0.4805194805194805,0.45454545454545453
JPYEUR,,,
GBPUSD,,,
GBPJPY,0.45454545454545453,0.5454545454545454,0.6103896103896104
GBPCHF,0.4805194805194805,0.5194805194805194,0.5584415584415584
GBPAUD,,,
GBPCAD,,,
GBPNZD,,,
GBPNOK,0.4935064935064935,0.44155844155844154,0.5064935064935064
GBPSEK,0.45454545454545453,0.5324675324675324,0.5194805194805194
GBPEUR,0.42857142857142855,0.35714285714285715,0.42857142857142855
CHFUSD,,,
CHFJPY,,,
CHFGBP,,,
CHFAUD,,,
CHFCAD,,,
CHFNZD,,,
CHFNOK,,,
CHFSEK,,,
CHFEUR,,,
AUDUSD,,,
AUDJPY,,,
AUDGBP,,,
AUDCHF,,,
AUDCAD,,,
AUDNZD,,,
AUDNOK,,,
AUDSEK,,,
AUDEUR,,,
CADUSD,,,
CADJPY,,,
CADGBP,,,
CADCHF,,,
CADAUD,,,
CADNZD,,,
CADNOK,,,
CADSEK,,,
CADEUR,,,
NZDUSD,,,
NZDJPY,,,
NZDGBP,,,
NZDCHF,,,
NZDAUD,,,
NZDCAD,,,
NZDNOK,,,
NZDSEK,,,
NZDEUR,,,
NOKUSD,,,
NOKJPY,,,
NOKGBP,,,
NOKCHF,0.5064935064935064,0.4805194805194805,0.4935064935064935
NOKAUD,,,
NOKCAD,,,
NOKNZD,,,
NOKSEK,0.45454545454545453,0.44155844155844154,0.5714285714285714
NOKEUR,,,
SEKUSD,,,
SEKJPY,,,
SEKGBP,,,
SEKCHF,0.7012987012987013,0.5064935064935064,0.5584415584415584
SEKAUD,,,
SEKCAD,,,
SEKNZD,,,
SEKNOK,,,
SEKEUR,,,
EURUSD,,,
EURJPY,0.5396825396825397,0.5714285714285714,0.5238095238095238
EURGBP,,,
EURCHF,0.4642857142857143,0.5178571428571429,0.5714285714285714
EURAUD,,,
EURCAD,,,
EURNZD,,,
EURNOK,0.4603174603174603,0.49206349206349204,0.5396825396825397
EURSEK,0.5714285714285714,0.5873015873015873,0.49206349206349204
