,Agg_Ori,Agg_PCA,Fea_PCA
USDJPY,0.625,0.5,0.5
USDGBP,0.4166666666666667,0.4166666666666667,0.4166666666666667
USDCHF,,,
USDAUD,,,
USDCAD,,,
USDNZD,,,
USDNOK,,,
USDSEK,,,
USDEUR,0.4666666666666667,0.5333333333333333,0.5333333333333333
JPYUSD,,,
JPYGBP,,,
JPYCHF,,,
JPYAUD,,,
JPYCAD,,,
JPYNZD,,,
JPYNOK,,,
JPYSEK,,,
JPYEUR,,,
GBPUSD,,,
GBPJPY,0.6,0.4,0.8
GBPCHF,,,
GBPAUD,,,
GBPCAD,,,
GBPNZD,,,
GBPNOK,,,
GBPSEK,,,
GBPEUR,0.5,0.5,0.5833333333333334
CHFUSD,,,
CHFJPY,,,
CHFGBP,,,
CHFAUD,,,
CHFCAD,,,
CHFNZD,,,
CHFNOK,,,
CHFSEK,,,
CHFEUR,,,
AUDUSD,,,
AUDJPY,,,
AUDGBP,,,
AUDCHF,,,
AUDCAD,,,
AUDNZD,,,
AUDNOK,,,
AUDSEK,,,
AUDEUR,,,
CADUSD,,,
CADJPY,,,
CADGBP,,,
CADCHF,,,
CADAUD,,,
CADNZD,,,
CADNOK,,,
CADSEK,,,
CADEUR,,,
NZDUSD,,,
NZDJPY,,,
NZDGBP,,,
NZDCHF,,,
NZDAUD,,,
NZDCAD,,,
NZDNOK,,,
NZDSEK,,,
NZDEUR,,,
NOKUSD,,,
NOKJPY,,,
NOKGBP,,,
NOKCHF,,,
NOKAUD,,,
NOKCAD,,,
NOKNZD,,,
NOKSEK,,,
NOKEUR,,,
SEKUSD,,,
SEKJPY,,,
SEKGBP,,,
SEKCHF,,,
SEKAUD,,,
SEKCAD,,,
SEKNZD,,,
SEKNOK,,,
SEKEUR,,,
EURUSD,,,
EURJPY,0.5,0.625,0.5
EURGBP,,,
EURCHF,,,
EURAUD,,,
EURCAD,,,
EURNZD,,,
EURNOK,,,
EURSEK,,,
