,ret_only,econ_data_only,both
USDJPY,0.37037037037037035,0.5925925925925926,0.6666666666666666
USDGBP,0.6296296296296297,0.48148148148148145,0.5555555555555556
USDCHF,0.5555555555555556,0.2962962962962963,0.4074074074074074
USDAUD,,,
USDCAD,,,
USDNZD,,,
USDNOK,0.4444444444444444,0.4074074074074074,0.37037037037037035
USDSEK,0.37037037037037035,0.5925925925925926,0.4074074074074074
USDEUR,0.4444444444444444,,
JPYUSD,,,
JPYGBP,,,
JPYCHF,0.4444444444444444,0.4444444444444444,0.4074074074074074
JPYAUD,,,
JPYCAD,,,
JPYNZD,,,
JPYNOK,0.5555555555555556,0.4444444444444444,0.48148148148148145
JPYSEK,0.4074074074074074,0.5925925925925926,0.48148148148148145
JPYEUR,,,
GBPUSD,,,
GBPJPY,0.5555555555555556,0.48148148148148145,0.48148148148148145
GBPCHF,0.5925925925925926,0.5185185185185185,0.5925925925925926
GBPAUD,,,
GBPCAD,,,
GBPNZD,,,
GBPNOK,0.48148148148148145,0.6666666666666666,0.6666666666666666
GBPSEK,0.5555555555555556,0.4444444444444444,0.4444444444444444
GBPEUR,0.47368421052631576,,
CHFUSD,,,
CHFJPY,,,
CHFGBP,,,
CHFAUD,,,
CHFCAD,,,
CHFNZD,,,
CHFNOK,,,
CHFSEK,,,
CHFEUR,,,
AUDUSD,,,
AUDJPY,,,
AUDGBP,,,
AUDCHF,,,
AUDCAD,,,
AUDNZD,,,
AUDNOK,,,
AUDSEK,,,
AUDEUR,,,
CADUSD,,,
CADJPY,,,
CADGBP,,,
CADCHF,,,
CADAUD,,,
CADNZD,,,
CADNOK,,,
CADSEK,,,
CADEUR,,,
NZDUSD,,,
NZDJPY,,,
NZDGBP,,,
NZDCHF,,,
NZDAUD,,,
NZDCAD,,,
NZDNOK,,,
NZDSEK,,,
NZDEUR,,,
NOKUSD,,,
NOKJPY,,,
NOKGBP,,,
NOKCHF,0.48148148148148145,0.6296296296296297,0.6296296296296297
NOKAUD,,,
NOKCAD,,,
NOKNZD,,,
NOKSEK,0.5925925925925926,0.5185185185185185,0.48148148148148145
NOKEUR,,,
SEKUSD,,,
SEKJPY,,,
SEKGBP,,,
SEKCHF,0.48148148148148145,0.4444444444444444,0.48148148148148145
SEKAUD,,,
SEKCAD,,,
SEKNZD,,,
SEKNOK,,,
SEKEUR,,,
EURUSD,,,
EURJPY,0.5555555555555556,,
EURGBP,,,
EURCHF,0.42105263157894735,,
EURAUD,,,
EURCAD,,,
EURNZD,,,
EURNOK,0.4444444444444444,,
EURSEK,0.4074074074074074,,
